URLs Downloaded, SizeKB, # of outlinks found, Content-type
https://www.nytimes.com/2023/07/01/us/workers-labor-unions-los-angeles-california.html,234,55,text/html
https://www.nytimes.com/2023/10/04/world/europe/finland-military-nato-russia-ukraine.html,319,45,text/html
https://www.nytimes.com/2023/09/30/technology/ukraine-russia-war-drones-china.html,335,49,text/html
https://www.nytimes.com/2023/10/07/opinion/israel-hamas-attack-friedman.html,239,47,text/html
https://www.nytimes.com/sitemap/1852/,72,39,text/html
https://www.nytimes.com/sitemap/1968/,72,39,text/html
https://www.nytimes.com/2023/10/02/realestate/scotland-villa-home-renovation.html,272,35,text/html
https://www.nytimes.com/2023/10/06/business/rich-paul-nba-agent.html,241,36,text/html
https://www.nytimes.com/sitemap/2016/10/,80,59,text/html
https://www.nytimes.com/sitemap/1856/,72,39,text/html
https://www.nytimes.com/column/the-world-through-a-lens,261,49,text/html
https://www.nytimes.com/sitemap/1993/,72,39,text/html
https://www.nytimes.com/2023/10/07/business/cashing-savings-bonds.html,209,35,text/html
https://www.nytimes.com/2023/09/17/arts/television/drew-barrymore-show-pause-writers-strike.html,197,39,text/html
https://www.nytimes.com/section/world/middleeast,605,50,text/html
https://www.nytimes.com/2022/12/16/us/university-of-california-strike-deal.html,216,50,text/html
https://www.nytimes.com/section/magazine,412,64,text/html
https://www.nytimes.com/sitemap/1872/,72,39,text/html
https://www.nytimes.com/2023/10/08/travel/maui-hawaii-reopening-fires.html,230,66,text/html
https://www.nytimes.com/sitemap/1965/,72,39,text/html
https://www.nytimes.com/sitemap/2016/12/,80,59,text/html
https://www.nytimes.com/international/section/sports,326,49,text/html
https://www.nytimes.com/2023/10/04/nyregion/charlotte-sena-missing-ny.html,229,42,text/html
https://www.nytimes.com/sitemap/1956/,72,39,text/html
https://www.nytimes.com/games/wordle/index.html,59,8,text/html
https://www.nytimes.com/sitemap/1961/,72,39,text/html
https://www.nytimes.com/section/world/europe,752,51,text/html
https://www.nytimes.com/2023/10/02/upshot/polling-elections-voting-abortion.html,246,47,text/html
https://www.nytimes.com/2023/10/01/world/europe/poland-antigovernment-march-election.html,216,42,text/html
https://www.nytimes.com/es/2023/09/21/espanol/ley-votacion-texas.html,209,34,text/html
https://www.nytimes.com/2023/10/02/us/south-asians-are-divided-over-a-pending-ban-on-caste-discrimination.html,253,51,text/html
https://www.nytimes.com/svc/oembed/json/?url=https%3A%2F%2Fwww.nytimes.com%2F2023%2F10%2F05%2Fus%2Fkaiser-permanente-strike.html,1,4,application/json
https://www.nytimes.com/2023/09/29/us/politics/robert-f-kennedy-third-party-democrats-primary.html,210,49,text/html
https://www.nytimes.com/2023/10/04/world/europe/russian-journalist-sentenced-marina-ovsyannikova.html,194,51,text/html
https://www.nytimes.com/live/2023/09/18/world/russia-ukraine-news/ukraine-says-it-has-retaken-klishchiivka-a-strategic-village-outside-bakhmut,822,82,text/html
https://www.nytimes.com/sitemap/2012/09/,80,58,text/html
https://www.nytimes.com/2023/10/06/world/europe/hroza-ukraine-missile-strike.html,266,46,text/html
https://www.nytimes.com/sitemap/1918/,72,39,text/html
